epoch,loss,aux_loss,colonization_loss,jump_loss,decline_loss,pde_loss,regular_loss,China_loss,India_loss,Philippines_loss,Portugal_loss,Sri Lanka_loss
1,1322.820326450893,0.7528605699539185,846.0176119123187,1129.5252190792198,79.67027784075056,3415.822837611607,10740.05477621896,2514.854814801897,1004.6031930106027,1279.0280639648438,315.90379900251116,1499.7117296491351
2,940.3915501185826,0.7312864150319781,563.266624886649,968.1268188476563,70.77542506626673,2472.7231340680805,11746.460077622358,3422.4638671875,840.1321411132812,1912.9847412109375,401.416015625,859.548583984375
3,786.1383579799107,0.7163807017462595,383.35869772774834,738.3991131326732,66.79293648856027,2250.129136439732,8670.734335327148,1519.7243334089007,740.4717934744699,960.6397330147879,222.49917798723493,1258.6226444789343
4,648.1294695172991,0.6993490372385297,248.3553702218192,585.9493748256139,67.57919169834682,1985.0597900390626,7431.562227957589,2632.911865234375,660.8314819335938,1657.9725341796875,404.1219482421875,706.8815307617188
5,626.3314575195312,0.6853454913411822,240.17370278494698,634.6300920213972,67.39769744873047,1938.5835728236607,6869.730402329389,1252.308080618722,711.917868913923,856.364213344029,226.01344615391324,884.088021850586
6,594.9593401227679,0.671286860534123,213.75047193254744,627.9522955758231,66.02327346801758,1890.4126604352678,7306.1934148615055,2361.888427734375,637.4035034179688,1519.1517333984375,379.4661865234375,523.2380981445312
7,543.0970336914063,0.659420827456883,178.03155234200614,687.7526109358844,64.50695299421038,1800.5210030691965,6634.733998018152,1029.298597063337,640.6296425955636,722.631742640904,227.3395270211356,620.7478188650948
8,556.683744594029,0.6497931667736598,194.0744116646903,575.6881844656808,63.120144326346264,1748.954087611607,7081.885189280791,1950.5819091796875,674.5523681640625,1404.348876953125,368.06494140625,475.0515441894531
9,549.151589529855,0.638131468636649,168.88590589250836,496.0557482102338,62.4405519757952,1778.9173496791295,7326.024383544922,963.0131007603237,684.6707702636719,707.7498718261719,216.53528355189732,559.6881600516183
10,504.854782976423,0.629345703125,153.50829762050083,468.8058866228376,60.493540736607144,1706.326864188058,6276.071461397059,1947.3831787109375,586.8572387695312,1396.070068359375,380.95806884765625,502.2343444824219
11,480.3752633231027,0.6246054547173636,152.81362533569336,474.4127633711871,57.59875760759626,1682.8125209263392,5070.422502790178,981.8761648995536,615.1403987339564,700.8714634486607,221.74146205357144,455.167206464495
12,457.5428693498884,0.6152861952781677,135.41503284999303,459.502106329974,57.69364950997489,1570.250034877232,5680.106080896714,1542.9300537109375,655.0792846679688,1374.8876953125,365.3070068359375,503.432373046875
13,485.7825360979353,0.607406006540571,136.6125591823033,429.45321924546187,57.499253845214845,1622.8362025669642,5549.189406476702,832.3073338099888,550.5457009451729,647.3488364083427,223.89129529680525,461.3919686453683
14,452.4864719935826,0.6004865186555045,144.16042949131557,395.808423614502,55.780949401855466,1562.532795061384,5601.937008128447,2077.111328125,625.5936889648438,1334.2080078125,356.40460205078125,428.1600341796875
15,468.88042515345984,0.592710600580488,145.06261073521205,462.50937271118164,54.18207866123745,1526.5966761997768,5311.63717471852,942.3302559988839,506.63895350864954,650.3086233956474,205.50633196149553,478.6345210484096
16,438.13113664899555,0.5867278286388942,122.01104038783483,413.48462710661045,54.664623914446146,1529.4571271623884,6038.643044172015,1678.55517578125,659.5922241210938,1286.076904296875,350.84375,434.7676086425781
17,403.53163234165737,0.5808561325073243,111.89319621494838,390.89625215530396,51.26559088570731,1472.555397251674,4196.917095075335,883.3642111642021,540.9053392682757,663.4190290178572,208.36754128592355,449.70181361607143
18,415.4203587123326,0.5744352119309561,120.47929066249303,416.7119113697725,53.13276846749442,1469.0911376953125,4543.085923165986,1802.2142333984375,597.1966552734375,1221.942138671875,352.8957214355469,458.2850646972656
19,463.63433750697544,0.5709328770637512,118.43519799368723,378.7887658511891,52.02470921107701,1665.632648577009,5573.928250481101,840.0511335100447,486.6886173793248,588.1518755231585,205.42774897984097,403.95447431291853
20,407.5777779715402,0.5652902756418501,109.80586744035993,340.9387704675848,54.774002402169366,1411.7994123186384,5236.456419048887,1606.5704345703125,695.1381225585938,1233.2149658203125,363.6717224121094,464.93389892578125
21,410.9152474539621,0.5616599764142718,106.84262357439313,362.19508094787597,50.19862779889788,1365.1791521344867,12243.68923209054,669.1186070033482,485.4036032540458,619.1534650530134,208.7503435407366,419.45025460379463
22,408.9638968331473,0.5552320837974548,113.84633102416993,331.17126061575755,53.55126048496791,1329.9673828125,6283.2838430693655,1833.259521484375,651.8898315429688,1215.5841064453125,370.467529296875,453.3132629394531
23,396.0302237374442,0.5514987060001918,106.93257773263115,383.6578648158482,52.968288912091936,1323.9998291015625,6246.489931052071,656.6484296526228,465.5226793561663,586.2640729631696,213.49490727015905,365.784177507673
24,406.46398489815846,0.5461395127432687,114.93948898315429,352.203926895604,51.02712544032506,1304.4868460518974,6088.115025607022,1985.21240234375,559.5823974609375,1238.9727783203125,364.6614074707031,433.4593200683594
25,414.3999341692243,0.5420996580805097,106.56739589146206,319.540839276995,52.716736275809154,1312.5369838169643,10739.275052315848,802.57001953125,450.74681658063616,574.1821533203125,203.2147493634905,398.19888959612166
26,403.8567696707589,0.5415517500468663,132.35294919695173,292.70667942592075,50.63558807373047,1312.3409423828125,4690.523500497001,1875.1993408203125,584.185546875,1186.7222900390625,360.56500244140625,431.806640625
27,367.9220999581473,0.536250616822924,95.96958770751954,302.52039751325333,51.31490614754813,1274.6384643554688,5411.953109305246,684.5660566057478,449.639629473005,519.0757738385881,206.7216572352818,402.4292168753488
28,344.6807835170201,0.5362520745822361,85.93363701956612,316.11568753859575,52.26260828290667,1222.2904052734375,4334.070723056793,1823.2906494140625,694.3797607421875,1154.5537109375,355.917236328125,438.37457275390625
29,324.8735787527902,0.5353182094437735,90.09249888828822,297.86887119838167,53.28264530726842,1178.5240373883928,3162.538137996898,719.8928928920201,540.3852340698243,512.5364201136998,198.08528267996653,373.50223018101286
30,336.47316502162386,0.530948725768498,86.10737075805665,301.2223997388567,50.82961066109794,1221.2329467773438,4202.432001450483,1325.4368896484375,738.3228759765625,1178.3717041015625,363.5354919433594,462.1011657714844
31,377.4827645438058,0.5294489426272256,71.70552188328334,292.2705253601074,51.36018262590681,1236.6017822265626,8766.202933393206,644.1565482003348,444.86595851353235,527.093450491769,206.95768607003347,367.58199375697546
32,345.2421892438616,0.526072666474751,95.10225595746722,296.7944674772375,49.69622960771833,1209.5500732421874,3915.082060842803,1426.5972900390625,701.26708984375,1128.53662109375,359.1418762207031,450.14508056640625
33,341.18014090401783,0.5258622544152396,81.51159499032157,267.41227699728574,53.02100622994559,1221.4325544084822,5112.814860316686,583.6809343610491,408.9901421683175,501.42967485700336,195.13248443603516,328.42490005493164
34,325.9173039027623,0.5214638105460576,82.80868432181222,279.74687630789623,51.74901084899902,1169.7837908063616,4357.507976185192,1632.8909912109375,593.7868041992188,1146.7818603515625,358.8984375,455.335205078125
