epoch,loss,aux_loss,colonization_loss,jump_loss,decline_loss,pde_loss,regular_loss,China_loss,India_loss,Philippines_loss,Portugal_loss,Sri Lanka_loss
1,1554.2457798549108,0.7221764632633754,958.0164031982422,1353.220682558806,57.54258324759347,3937.275216238839,23008.191234241833,2579.8541120256696,1129.5088884626116,2140.9764665876114,429.36284702845984,1491.5263375418526
2,1230.0796979631696,0.7080898421151297,661.3301391601562,906.2175454226407,49.30727124895368,3260.4533935546874,16717.87739868164,2865.48095703125,960.4071044921875,2196.1103515625,478.6826477050781,873.0172729492188
3,979.114657156808,0.6957595927374703,427.468110874721,806.1497842539911,47.30092686244419,2793.1365234375,22378.89569091797,1929.727826799665,856.8185468401227,1841.2738490513393,272.25086451939177,1250.3273439679826
4,796.4348440987724,0.6860369375773838,242.24456154959543,517.9277730638331,47.4215021950858,2615.8829206194196,12668.098773411342,2151.75439453125,778.1474609375,1788.7662353515625,449.1744079589844,710.0999755859375
5,722.4148114885603,0.6746143341064453,194.48729803902762,545.6881804466248,45.77337123325893,2414.0063232421876,11885.225643183056,1471.816584123884,764.7734457833426,1442.196528843471,283.6979496547154,933.0886457170759
6,686.2754289899553,0.6651730929102216,175.97295368739537,388.19649898529053,47.70426613943918,2249.6727608816964,14183.507415771484,1860.1060791015625,833.3311157226562,1501.4759521484375,453.712158203125,447.0710144042969
7,661.0585039411272,0.6558970587594168,178.98404323032923,386.2811274321183,44.84483838762556,2216.19072265625,11225.953072287819,1154.0200256347657,689.1059814453125,1250.5726440429687,275.0037089756557,613.4717934744699
8,614.5860046386719,0.6488145487649101,164.6245748247419,482.2648239135742,44.522711454119,2024.9143223353794,10911.14369419643,1876.969970703125,666.26416015625,1463.643310546875,446.3792724609375,443.0372619628906
9,597.8979309082031,0.6408191919326782,144.4426189967564,331.3031198637826,44.971526173182895,2071.102396065848,8763.91646144701,1054.916028703962,685.483043561663,1025.9261858258928,276.24298400878905,569.5057438441685
10,563.9950029645647,0.6357393860816956,132.512807900565,297.8498268524806,51.75346390860421,1926.1797607421875,12412.08822604588,1833.8463134765625,565.4458618164062,1425.5125732421875,432.7327880859375,427.4909362792969
11,542.3778913225447,0.6308910506112235,140.2175163269043,281.72946102852404,46.823213250296455,1840.625941685268,8128.20322227478,1019.3591378348215,599.5093806675502,1029.729598563058,267.2223626273019,515.556658063616
12,518.4677699497768,0.6270085641316006,127.73997366768974,245.58095507188276,42.83556180681501,1810.9518293108258,9046.84525694847,1633.39013671875,577.4923706054688,1302.4052734375,445.8424377441406,413.76446533203125
