number,value,datetime_start,datetime_complete,duration,params_attention_heads,params_colonization_expert_weight,params_colonization_threshold,params_colonization_weight,params_coord_embed_base,params_decline_expert_weight,params_decline_threshold,params_decline_weight,params_dropout_rate,params_hidden_dim_1_base,params_hidden_dim_2_base,params_hidden_dim_3_base,params_jump_expert_weight,params_jump_threshold,params_jump_weight,params_learning_rate,params_pde_expert_weight,params_pde_weight,params_weight_decay,state
10,718.1344259738605,2025-04-24 20:19:19.953635,2025-04-24 23:17:59.620123,0 days 02:58:39.666488,5,0.5296480713060737,0.193965611891813,9.522656887511342,7,0.8124897805145396,37.65404112669709,8.212185656078328,0.4630659181130071,8,6,3,0.878204789548042,84.72528082300295,2.2703898624335253,0.0004993637883601218,0.7144299083451704,7.943328122319691,2.214396068504149e-07,COMPLETE
11,1216.9435536889202,2025-04-24 20:19:19.966677,2025-04-24 23:22:08.655904,0 days 03:02:48.689227,5,0.7375386315314675,0.10232639337607534,2.9492362457018393,5,0.6971457481268195,64.3373971841306,5.2544260599215376,0.2753991977825756,22,16,8,0.6358350704309181,198.8740092569891,7.259174438107952,2.5508754249827804e-05,0.5855975253875391,1.1807419121509417,1.6486581733805815e-05,COMPLETE
12,681.9813080717706,2025-04-24 20:19:19.979559,2025-04-24 23:42:03.294761,0 days 03:22:43.315202,2,0.7375386315314675,0.09865901148564998,4.013156586009125,5,0.6971457481268195,66.27547611551614,5.083062055825858,0.2753991977825756,25,9,4,0.6175209522347848,109.2620316434298,7.259174438107952,0.0003429667321326434,0.5855975253875391,6.15961879886106,2.967773209962217e-07,COMPLETE
13,1129.5924815641235,2025-04-24 20:19:19.992336,2025-04-24 23:46:11.487595,0 days 03:26:51.495259,6,0.6444185093738942,0.09303897372420696,8.93053359792161,6,0.5235512908529711,46.75307018566624,1.3026934434163842,0.2390651593963909,25,10,8,0.6123043816958816,194.05750117413066,7.496592619232377,4.038549892854383e-05,0.4088140052901209,1.1807419121509417,1.2002089712213867e-05,COMPLETE
14,1374.957783831682,2025-04-24 20:19:20.004942,2025-04-24 23:50:20.469708,0 days 03:31:00.464766,2,0.7617905521683779,0.13209017466799233,8.05266659034115,2,0.6673936252831768,70.2996707023857,6.960307803166783,0.3760988294276581,14,16,4,0.7873521528567009,128.9888083091715,4.204821010014943,4.490942793485993e-05,0.6586502480449148,6.11551811076909,5.01977652774865e-07,COMPLETE
15,657.1581637768618,2025-04-24 20:19:20.017983,2025-04-25 00:09:31.279866,0 days 03:50:11.261883,4,0.656981156841053,0.13209017466799233,4.013156586009125,5,0.8118806691729988,96.48069520007276,4.114726751921404,0.22764353500698464,26,10,2,0.685907353219685,51.976509869501044,7.981465341598607,0.0002292936637507634,0.5486198003438324,2.0782176795602387,4.5594072390214954e-05,COMPLETE
16,557.7135075724575,2025-04-24 20:19:20.031231,2025-04-25 00:25:41.353801,0 days 04:06:21.322570,4,0.7857607271277411,0.08219598949868935,7.911104799977132,4,0.5235512908529711,75.54437608969272,1.3026934434163842,0.11549007998447319,16,4,7,0.5681139558702257,128.9888083091715,6.0267225770136115,0.0009509819438528873,0.4088140052901209,5.172326697890094,6.323728543271069e-07,COMPLETE
17,602.9025954918274,2025-04-24 20:19:20.044517,2025-04-25 00:43:20.686375,0 days 04:24:00.641858,4,0.8922566863986378,0.08224451145521498,8.05266659034115,4,0.5131173586671901,74.51920072918698,1.1625834628049156,0.11549007998447319,16,4,7,0.5681139558702257,128.9888083091715,5.37750103723499,0.0009917758212327403,0.40450752350901525,9.391433792708199,6.323728543271069e-07,COMPLETE
18,574.3813094817652,2025-04-24 20:19:20.058105,2025-04-25 00:55:45.201452,0 days 04:36:25.143347,4,0.7815048721016461,0.082252429689637,8.05266659034115,4,0.5120670556652918,54.77038115575688,1.154687286714901,0.11328900235266169,16,4,8,0.5758578258791848,125.63324326137601,4.959542840754541,0.0009954744490568471,0.4043549686266507,9.918309666948264,1.0865789624718587e-07,COMPLETE
19,616.0435143973131,2025-04-24 20:19:20.071739,2025-04-25 01:08:31.500298,0 days 04:49:11.428559,5,0.7801144793213364,0.11743794140100955,8.05266659034115,6,0.8734624039041587,55.02991884822071,9.584276128818496,0.3760988294276581,15,4,8,0.7138532183314326,106.9406365130335,4.204821010014943,0.0009954860798357566,0.7742247504325699,7.604698094384849,1.0626801628778867e-07,COMPLETE
