trial,value,best_val_loss,best_val_r2,epochs_trained,param_attention_heads,param_hidden_dim_1_base,param_hidden_dim_2_base,param_hidden_dim_3_base,param_coord_embed_base,param_dropout_rate,param_colonization_threshold,param_colonization_expert_weight,param_colonization_weight,param_jump_threshold,param_jump_expert_weight,param_jump_weight,param_decline_threshold,param_decline_expert_weight,param_decline_weight,param_pde_expert_weight,param_pde_weight,param_learning_rate,param_weight_decay
10,718.1344259738605,718.1344259738605,0.7521943720896007,36,5,8,6,3,7,0.4630659181130071,0.193965611891813,0.5296480713060737,9.522656887511342,84.72528082300295,0.878204789548042,2.2703898624335253,37.65404112669709,0.8124897805145396,8.212185656078328,0.7144299083451704,7.943328122319691,0.0004993637883601218,2.214396068504149e-07
11,1216.9435536889202,1216.9435536889202,0.5800710138015689,11,5,22,16,8,5,0.2753991977825756,0.10232639337607534,0.7375386315314675,2.9492362457018393,198.8740092569891,0.6358350704309181,7.259174438107952,64.3373971841306,0.6971457481268195,5.2544260599215376,0.5855975253875391,1.1807419121509417,2.5508754249827804e-05,1.6486581733805815e-05
12,681.9813080717706,681.9813080717706,0.7646696772116145,53,2,25,9,4,5,0.2753991977825756,0.09865901148564998,0.7375386315314675,4.013156586009125,109.2620316434298,0.6175209522347848,7.259174438107952,66.27547611551614,0.6971457481268195,5.083062055825858,0.5855975253875391,6.15961879886106,0.0003429667321326434,2.967773209962217e-07
13,1129.5924815641235,1129.5924815641235,0.6102131243781195,11,6,25,10,8,6,0.2390651593963909,0.09303897372420696,0.6444185093738942,8.93053359792161,194.05750117413066,0.6123043816958816,7.496592619232377,46.75307018566624,0.5235512908529711,1.3026934434163842,0.4088140052901209,1.1807419121509417,4.038549892854383e-05,1.2002089712213867e-05
14,1374.957783831682,1374.957783831682,0.5255452675024621,11,2,14,16,4,2,0.3760988294276581,0.13209017466799233,0.7617905521683779,8.05266659034115,128.9888083091715,0.7873521528567009,4.204821010014943,70.2996707023857,0.6673936252831768,6.960307803166783,0.6586502480449148,6.11551811076909,4.490942793485993e-05,5.01977652774865e-07
15,657.1581637768618,657.1581637768618,0.7732353644092008,51,4,26,10,2,5,0.22764353500698464,0.13209017466799233,0.656981156841053,4.013156586009125,51.976509869501044,0.685907353219685,7.981465341598607,96.48069520007276,0.8118806691729988,4.114726751921404,0.5486198003438324,2.0782176795602387,0.0002292936637507634,4.5594072390214954e-05
16,557.7135075724575,557.7135075724575,0.8075505908929443,43,4,16,4,7,4,0.11549007998447319,0.08219598949868935,0.7857607271277411,7.911104799977132,128.9888083091715,0.5681139558702257,6.0267225770136115,75.54437608969272,0.5235512908529711,1.3026934434163842,0.4088140052901209,5.172326697890094,0.0009509819438528873,6.323728543271069e-07
17,602.9025954918274,602.9025954918274,0.7919572564119077,47,4,16,4,7,4,0.11549007998447319,0.08224451145521498,0.8922566863986378,8.05266659034115,128.9888083091715,0.5681139558702257,5.37750103723499,74.51920072918698,0.5131173586671901,1.1625834628049156,0.40450752350901525,9.391433792708199,0.0009917758212327403,6.323728543271069e-07
18,574.3813094817652,574.3813094817652,0.8017990561264263,33,4,16,4,8,4,0.11328900235266169,0.082252429689637,0.7815048721016461,8.05266659034115,125.63324326137601,0.5758578258791848,4.959542840754541,54.77038115575688,0.5120670556652918,1.154687286714901,0.4043549686266507,9.918309666948264,0.0009954744490568471,1.0865789624718587e-07
19,616.0435143973131,616.0435143973131,0.7874227381616824,34,5,15,4,8,6,0.3760988294276581,0.11743794140100955,0.7801144793213364,8.05266659034115,106.9406365130335,0.7138532183314326,4.204821010014943,55.02991884822071,0.8734624039041587,9.584276128818496,0.7742247504325699,7.604698094384849,0.0009954860798357566,1.0626801628778867e-07
20,567.4631829497839,567.4631829497839,0.8041862842375093,38,4,11,6,7,4,0.11549007998447319,0.14913706000141147,0.6879082321389851,9.6661726913478,84.72528082300295,0.5681139558702257,6.0267225770136115,55.02991884822071,0.6492219081312312,4.037677979482558,0.5273145000499233,9.918469652106323,0.0006052902610668482,1.0626801628778867e-07
21,566.1658849647308,566.1658849647308,0.8046339410133796,40,4,11,6,7,4,0.11096367325753277,0.15553039965114757,0.6711120731528121,9.7532695089479,75.83775252290734,0.5687183938480146,6.0267225770136115,55.401590307345366,0.6456093984716176,4.082643943639809,0.5319541421746606,9.964543974942778,0.0005875920584736576,1.0487225841430677e-07
22,591.6341173464825,591.6341173464825,0.7958456541845322,44,4,11,6,7,4,0.11096367325753277,0.15674368020041216,0.6656323961620945,9.762502584862888,59.25793601035767,0.5680056997187877,6.232680777709965,42.86834467560792,0.6424952652550133,4.082643943639809,0.5273145000499233,8.546450996542411,0.0005637366202556486,6.541541453073624e-07
23,808.9947690023768,808.9947690023768,0.7208413223791621,16,5,12,6,7,4,0.2202259292197384,0.15827026735179095,0.6038994444722598,8.93053359792161,76.9941849399165,0.6680823878287953,6.232680777709965,56.98756691373163,0.7479287954068051,4.082643943639809,0.6395797456892097,4.967973931111567,0.00021900825953623986,2.536551505273766e-07
24,656.653637926279,656.653637926279,0.7734094604289413,27,4,8,7,7,5,0.20772426467602428,0.15674368020041216,0.7014451678493423,8.93053359792161,84.72528082300295,0.7243013620843857,6.232680777709965,49.824005897612366,0.6424952652550133,6.934540005042189,0.5273145000499233,7.1762944864728135,0.0005637366202556486,1.701046642844934e-07
25,524.7578443910372,524.7578443910372,0.8189225548491366,52,6,18,7,5,2,0.3353262051364367,0.17014667404757933,0.6038994444722598,9.762502584862888,106.9406365130335,0.5680056997187877,2.6655567447823585,34.661205286371036,0.7479287954068051,5.854631221378225,0.545238217259996,8.982475473133988,0.0003429667321326434,4.833881100406519e-07
26,628.6343847208719,628.6343847208719,0.7830780243955421,43,6,18,7,5,2,0.3489340151780574,0.17930784675752362,0.5733967028866028,8.61556962988984,106.9406365130335,0.5979692245516318,1.1712315497502326,28.32194029279087,0.7523754916367584,6.2020233517783545,0.6226609600737365,8.789375795240273,0.0003429667321326434,8.78623688597606e-07
